id,name,description,category,price,usable_in_battle,usable_outside,effect,sprite
ability-capsule,Pilule Talent,Une capsule permettant à un Pokémon pouvant avoir deux talents de changer de l’un à l’autre.,vitamins,10000,false,true,"{""type"":""ability_change"",""target"":""standard""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ability-capsule.png
ability-patch,Patch Talent,Un objet qui permet de remplacer le talent ordinaire d’un Pokémon par un talent rare.,vitamins,20,false,true,"{""type"":""ability_change"",""target"":""hidden""}",
ability-shield,Garde-Talent,,held-items,20000,false,true,"{""type"":""held"",""effect"":""immunity"",""targets"":[""ability_change""]}",
ability-urge,Appel Talent,Déclenche la capacité spéciale d’un Pokémon de l’équipe.,miracle-shooter,0,false,true,"{""type"":""other""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ability-urge.png
abomasite,Blizzarite,"Une variété de Méga-Gemme. Tenue par un Blizzaroi, elle lui permet de méga-évoluer durant un combat.",mega-stones,0,false,true,"{""type"":""mega_stone"",""pokemon"":""abomasnow""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/abomasite.png
abra-candy,Bonbon Abra,Un bonbon plein d’énergie. Il augmente toutes les stats d’un certain Pokémon.,species-candies,20,false,true,"{""type"":""species_candy"",""pokemon"":""abra""}",
absolite,Absolite,"Une variété de Méga-Gemme. Tenue par un Absol, elle lui permet de méga-évoluer durant un combat.",mega-stones,0,false,true,"{""type"":""mega_stone"",""pokemon"":""absol""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/absolite.png
absorb-bulb,Bulbe,"Bulbe jetable. Tenu, il augmente la Défense Spéciale lorsque le Pokémon subit une attaque de type Eau.",held-items,4000,false,true,"{""type"":""held"",""boosts"":{""sp_atk"":1},""effect"":""on_type_hit"",""consumable"":true,""triggerType"":""water""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/absorb-bulb.png
academy-ball,Ballon de l'Académie,,picnic,0,false,true,"{""type"":""decoration""}",
academy-bottle,Gourde de l'Académie,,picnic,0,false,true,"{""type"":""decoration""}",
academy-cup,Tasse de l'Académie,,picnic,0,false,true,"{""type"":""decoration""}",
academy-tablecloth,Nappe de l'Académie,,picnic,0,false,true,"{""type"":""decoration""}",
